,과목이름,교수님,평점,과제,팀플,학점 비율
377,고급C프로그래밍및실습,이승원,3.88,보통,없음,학점느님
378,확률통계및프로그래밍,이승원,3.4,보통,없음,비율 채워줌
379,알고리즘및실습,이승원,3,없음,없음,학점느님
380,C프로그래밍및실습,이승원,2,많음,없음,F 폭격기
381,신입생세미나,오시몬,5,없음,없음,학점느님
382,웹프로그래밍,Jamil HUSSAIN,3,보통,보통,비율 채워줌
383,사물인터넷,김형석,5,보통,없음,학점느님
384,컴퓨터구조및운영체제,김형석,4.25,보통,없음,학점느님
385,창의융합노마드,김형석,3,보통,보통,학점느님
386,창의SW기초설계,김형석,3,없음,많음,학점느님
387,기초설계,김형석,1.71,많음,많음,비율 채워줌
388,통신시스템,이병무,5,보통,없음,학점느님
389,디지털신호처리,이병무,5,보통,없음,학점느님
390,이산수학및프로그래밍,이병무,4.33,보통,없음,학점느님
391,C프로그래밍및실습,이병무,4,보통,없음,학점느님
392,고급C프로그래밍및실습,이병무,4,많음,없음,비율 채워줌
393,선형대수및프로그래밍,이병무,3.8,보통,없음,비율 채워줌
394,확률통계및프로그래밍,이병무,3.25,보통,없음,비율 채워줌
395,고급프로그래밍입문-P,임유승,5,보통,없음,학점느님
396,창의SW융합노마드,임유승,5,보통,보통,학점느님
397,C프로그래밍및실습,임유승,4.47,보통,없음,비율 채워줌
398,고급C프로그래밍및실습,임유승,4,보통,없음,비율 채워줌
399,전자회로,임유승,4,보통,없음,학점느님
400,물리전자공학,임유승,4,보통,없음,비율 채워줌
401,전기회로실험,임유승,2.2,많음,없음,매우 깐깐함
402,창의SW융합노마드,박성훈,5,없음,없음,학점느님
403,센서소자및시스템,박성훈,5,없음,없음,학점느님
404,반도체공정,박성훈,4.5,보통,없음,학점느님
405,창의융합노마드,박성훈,4,보통,많음,학점느님
406,선형대수및프로그래밍,박성훈,3.5,보통,없음,학점느님
407,선형대수,박성훈,3,없음,없음,학점느님
408,고급프로그래밍입문-P,박성훈,3,없음,없음,학점느님
409,공업수학1,박성훈,2.83,없음,없음,비율 채워줌
410,C프로그래밍및실습,박성훈,2.5,보통,없음,비율 채워줌
411,반도체소자,박성훈,2,없음,없음,비율 채워줌
412,프로그래밍입문-P,박성훈,1,보통,없음,비율 채워줌
413,동역학,송진우,5,보통,없음,비율 채워줌
414,전기회로실험,송진우,5,많음,없음,학점느님
415,신입생세미나,송진우,5,없음,없음,학점느님
416,창의SW기초설계,송진우,5,보통,보통,학점느님
417,취창업과진로설계,송진우,4.88,보통,없음,학점느님
418,창업과기업가정신2,송진우,4.83,보통,없음,학점느님
419,자동제어,송진우,4.8,보통,없음,학점느님
420,전기회로,송진우,4.75,많음,없음,학점느님
421,공업수학1,송진우,4.71,보통,없음,학점느님
422,소프트웨어기초코딩,송진우,4,보통,없음,학점느님
423,컴퓨팅사고기반기초코딩,송진우,3.17,보통,없음,비율 채워줌
424,고급C프로그래밍및실습,서재규,5,보통,없음,학점느님
425,이산수학및프로그래밍,서재규,5,보통,없음,학점느님
426,C프로그래밍및실습,서재규,5,보통,없음,비율 채워줌
427,영상처리,서재규,5,보통,없음,학점느님
428,신입생세미나,서재규,5,없음,없음,학점느님
429,디지털시스템,서재규,4.94,보통,없음,학점느님
430,대학생활과진로설계,서재규,4,보통,없음,학점느님
431,웹프로그래밍,이진영,5,많음,많음,비율 채워줌
432,영상처리,이진영,5,많음,없음,학점느님
433,C프로그래밍및실습,이진영,4.5,보통,없음,비율 채워줌
434,고급C프로그래밍및실습,이진영,3.9,보통,없음,비율 채워줌
435,자료구조및실습,이진영,3.73,없음,없음,매우 깐깐함
436,알고리즘및실습,이진영,2.5,없음,없음,매우 깐깐함
437,수치해석,정철,5,많음,많음,비율 채워줌
438,통신시스템,정철,5,보통,없음,학점느님
439,신호및시스템,정철,4.86,보통,없음,비율 채워줌
440,행정철학과윤리,정철,4.73,많음,없음,학점느님
441,고급C프로그래밍및실습,정철,4.14,많음,없음,비율 채워줌
442,컴퓨터네트워크,정철,4,보통,없음,학점느님
443,창의SW기초설계,정철,3.75,많음,많음,학점느님
444,창의융합노마드,정철,2.78,많음,많음,매우 깐깐함
445,패턴인식,최유경,5,보통,없음,비율 채워줌
446,인공지능의이해,최유경,5,많음,없음,학점느님
447,고급C프로그래밍및실습,최유경,4.86,많음,없음,비율 채워줌
448,인공지능,최유경,4.79,보통,없음,비율 채워줌
449,기계학습,최유경,4.6,많음,없음,비율 채워줌
450,자료구조및실습,최유경,4.44,많음,없음,비율 채워줌
451,C프로그래밍및실습,김성한,5,보통,없음,비율 채워줌
452,신입생세미나,김성한,5,없음,없음,학점느님
453,기계학습,김성한,5,보통,없음,비율 채워줌
454,동적시스템모델링,김성한,4.67,보통,없음,학점느님
455,창의SW기초설계,김성한,3.8,보통,많음,학점느님
456,창의SW융합노마드,김성한,3,보통,많음,학점느님
457,동역학,김성한,3,보통,없음,학점느님
458,SM-캡스톤디자인,김성한,2,보통,보통,학점느님
459,이산수학및프로그래밍,김세원,5,보통,없음,학점느님
460,창의SW융합노마드,김세원,5,많음,없음,학점느님
461,C프로그래밍및실습,김세원,5,보통,보통,비율 채워줌
462,자동제어,김세원,4.75,보통,없음,학점느님
463,창의SW융합노마드,이현석,5,보통,없음,학점느님
464,컴퓨터네트워크,이현석,5,보통,없음,학점느님
465,자료구조및실습,이현석,4.17,보통,보통,학점느님
466,전산개론-O,이현석,2.5,보통,없음,비율 채워줌
467,신호및시스템,이현석,2.33,보통,없음,비율 채워줌
468,디지털시스템,MAI The Vu,5,보통,없음,학점느님
469,선형대수및프로그래밍,MAI The Vu,5,보통,없음,비율 채워줌
470,로보틱스,MAI The Vu,3.33,보통,없음,학점느님
471,전기회로,Rashid ALI,2,보통,없음,비율 채워줌
472,확률통계및프로그래밍,Rashid ALI,1,많음,없음,비율 채워줌
473,컴퓨터구조및운영체제,Rizwan Ali NAQVI,4.67,많음,없음,학점느님
474,웹프로그래밍,Rizwan Ali NAQVI,1.25,많음,많음,매우 깐깐함
475,전기회로,김상모,4,보통,없음,학점느님
476,딥러닝시스템,김지선,2.75,보통,없음,비율 채워줌
477,선형대수및프로그래밍,IJAZ MUHAMMAD FAZAL,2,보통,없음,매우 깐깐함
478,확률통계및프로그래밍,IJAZ MUHAMMAD FAZAL,1.75,보통,없음,F 폭격기
479,컴퓨터구조및운영체제,Amir HAIDER,2,보통,없음,비율 채워줌
480,동적시스템모델링,강병현,4.5,보통,없음,비율 채워줌
481,전기회로,박소영,5,보통,없음,학점느님
482,웹프로그래밍,이찬화,5,많음,없음,학점느님
483,디지털시스템,이찬화,4.67,보통,없음,학점느님
484,대학생활과진로설계,박용진,5,없음,없음,학점느님
485,비주얼커뮤니케이션디자인2,박용진,5,많음,없음,비율 채워줌
486,신입생세미나,박용진,5,보통,없음,비율 채워줌
487,디자인인모션1,박용진,4.5,보통,없음,비율 채워줌
488,디지털미디어프로젝트1,박용진,3,많음,없음,비율 채워줌
489,그래픽디자인2,박용진,3,보통,없음,비율 채워줌
490,K-MOOC:모빌리티디자인방법론,김진성,5,보통,없음,학점느님
491,스마트프로덕트디자인1,김진성,4,많음,많음,비율 채워줌
492,디자인재료및성형기법,김진성,3,보통,보통,학점느님
493,3D디자인,김진성,1.29,많음,많음,F 폭격기
494,아이덴티티디자인1,민자경,5,많음,없음,매우 깐깐함
495,인포그래픽,민자경,5,많음,없음,학점느님
496,신입생세미나,민자경,5,보통,보통,학점느님
497,아이덴티티디자인2,민자경,5,많음,없음,학점느님
498,비주얼커뮤니케이션디자인2,민자경,4.67,많음,많음,비율 채워줌
499,2D디자인,민자경,4.62,많음,없음,비율 채워줌
500,비주얼커뮤니케이션디자인1,민자경,4.56,많음,보통,비율 채워줌
501,창의융합노마드,민자경,3.2,보통,많음,학점느님
502,애니메이션기초1,김세훈,5,많음,없음,비율 채워줌
503,애니메이션기초2,김세훈,3.5,보통,없음,매우 깐깐함
504,만화기초1,이현세,5,보통,없음,비율 채워줌
505,대학생활과진로설계,이현세,1,없음,없음,학점느님
506,ES-문화예술과ICT,최은경,5,보통,많음,학점느님
507,ES-콜라보레이션 크리에이티브,최은경,4,많음,많음,학점느님
508,ES-문화예술과ICT,최은경,4,없음,없음,학점느님
509,ES-문화예술과ICT,최은경,3,보통,많음,비율 채워줌
510,ES-콜라보레이션 크리에이티브,최은경,3,보통,많음,학점느님
511,이펙트디자인1,최은경,3,많음,많음,학점느님
512,뉴미디어콜라보레이션2,최은경,2,보통,많음,비율 채워줌
513,ES-문화예술과ICT,최은경,1,보통,없음,비율 채워줌
514,창의융합노마드,최은경,1,많음,많음,비율 채워줌
515,콘텐츠기획2,한창완,4.86,보통,없음,비율 채워줌
516,콘텐츠기획1,한창완,4.4,보통,없음,학점느님
517,K-MOOC:콘텐츠산업의비즈니스전략,한창완,4.15,보통,없음,학점느님
518,창의융합노마드,강윤극,1,많음,많음,비율 채워줌
519,디지털스토리텔링,박재우,1.5,보통,많음,비율 채워줌
520,창의융합노마드,박재우,1,많음,많음,비율 채워줌
521,연극영화교과교재연구및지도법,김영미,1,보통,보통,비율 채워줌
522,대학생활과진로설계,문현준,5,없음,없음,학점느님
523,모바일프로그래밍,문현준,4,보통,많음,비율 채워줌
524,Capstone디자인(산학협력프로젝트),문현준,3.5,보통,보통,학점느님
525,컴퓨터구조론,문현준,3,많음,없음,비율 채워줌
526,영상처리,문현준,2.5,없음,없음,비율 채워줌
527,컴퓨터구조,문현준,2.06,보통,없음,비율 채워줌
528,오픈소스SW개론,문현준,1.44,없음,없음,비율 채워줌
529,공학설계기초,장윤,5,많음,많음,학점느님
530,데이터시각화,장윤,3,많음,보통,비율 채워줌
531,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
532,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
533,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
534,대학생활과진로설계,장윤,1,보통,보통,학점느님
535,소프트웨어특강1,유성준,5,보통,없음,비율 채워줌
536,K-MOOC:파이썬을이용한기계학습개론,유성준,5,없음,없음,비율 채워줌
537,신입생세미나,유성준,5,보통,없음,학점느님
538,소프트웨어특강2,유성준,3.25,많음,없음,학점느님
539,기계학습,유성준,2.83,많음,없음,비율 채워줌
540,패턴인식,최유경,5,보통,없음,비율 채워줌
541,인공지능의이해,최유경,5,많음,없음,학점느님
542,고급C프로그래밍및실습,최유경,4.86,많음,없음,비율 채워줌
543,인공지능,최유경,4.79,보통,없음,비율 채워줌
544,기계학습,최유경,4.6,많음,없음,비율 채워줌
545,자료구조및실습,최유경,4.44,많음,없음,비율 채워줌
546,데이터베이스,김미숙,5,많음,없음,비율 채워줌
547,기계학습,김미숙,5,많음,없음,비율 채워줌
548,고급기계학습,김미숙,4,많음,보통,학점느님
549,창의SW융합노마드,김미숙,3.75,많음,없음,학점느님
550,K-MOOC:기계학습,김미숙,2,보통,없음,매우 깐깐함
551,고급데이터처리,심태용,5,보통,없음,학점느님
552,신입생세미나,이승원,5,보통,없음,학점느님
553,세종사회봉사1,이승원,5,없음,없음,학점느님
554,데이터문제해결및실습1,이승원,4.5,보통,없음,학점느님
555,운영체제,이승원,4.38,보통,없음,학점느님
556,대학생활과진로설계,이승원,4,없음,없음,학점느님
557,고급C프로그래밍및실습,이승원,3.88,보통,없음,학점느님
558,확률통계및프로그래밍,이승원,3.4,보통,없음,비율 채워줌
559,알고리즘및실습,이승원,3,없음,없음,학점느님
560,C프로그래밍및실습,이승원,2,많음,없음,F 폭격기
561,C프로그래밍및실습,전창재,5,보통,없음,학점느님
562,인공지능의이해,전창재,4.91,보통,없음,학점느님
563,소프트웨어특강2,Abolghasem Sadeghi-Niaraki,3.5,많음,없음,학점느님
564,공학설계기초(산학프로젝트입문),Abolghasem Sadeghi-Niaraki,2.14,많음,많음,비율 채워줌
565,소프트웨어특강1,Abolghasem Sadeghi-Niaraki,1,많음,보통,매우 깐깐함
566,웹프로그래밍,Abolghasem Sadeghi-Niaraki,1,보통,보통,학점느님
567,프로그래밍언어의개념,Anish Prasad Shrestha,4.8,보통,없음,학점느님
568,이산수학및프로그래밍,Anish Prasad Shrestha,3.86,보통,보통,학점느님
569,공업수학1,Anish Prasad Shrestha,3.75,보통,없음,비율 채워줌
570,HCI개론,Muhammad Raheel Bhutta,5,없음,없음,학점느님
571,운영체제,Muhammad Raheel Bhutta,4.67,보통,없음,비율 채워줌
572,문제해결및실습:C++,Muhammad Raheel Bhutta,3.5,보통,없음,비율 채워줌
573,데이터베이스,Muhammad Raheel Bhutta,2,많음,없음,비율 채워줌
574,무선통신,Nhu Ngoc DAO,4,보통,보통,학점느님
575,공학설계기초(산학프로젝트입문),Nhu Ngoc DAO,3.33,없음,없음,매우 깐깐함
576,멀티미디어,Shake Md Riazul Islam,4.5,보통,보통,학점느님
577,확률통계및프로그래밍,Shake Md Riazul Islam,4.25,보통,보통,학점느님
578,영상처리,Shake Md Riazul Islam,4,보통,없음,학점느님
579,문제해결및실습:C++,Shake Md Riazul Islam,2,보통,없음,학점느님
580,C#프로그래밍,Rajendra Dhakal,5,보통,없음,비율 채워줌
581,문제해결및실습:C++,Rajendra Dhakal,4.5,보통,없음,비율 채워줌
582,소프트웨어공학,Rajendra Dhakal,4,보통,보통,비율 채워줌
583,디지털시스템,Rajendra Dhakal,4,보통,없음,비율 채워줌
584,문제해결및실습:JAVA,Rajendra Dhakal,3.5,보통,보통,비율 채워줌
585,C프로그래밍및실습,Rajendra Dhakal,1.67,보통,보통,비율 채워줌
586,취업역량개발론,권순일,5,없음,없음,학점느님
587,패턴인식개론,권순일,4.5,없음,보통,학점느님
588,Capstone디자인(산학협력프로젝트),권순일,4,보통,보통,비율 채워줌
589,디지털사운드,권순일,3.83,보통,없음,비율 채워줌
590,Capstone디자인(산학협력프로젝트),권순일,2.5,없음,많음,매우 깐깐함
591,패턴인식,권순일,1.5,많음,없음,매우 깐깐함
592,신입생세미나,김용국,3,없음,없음,학점느님
593,HCI개론,김용국,2.22,없음,없음,학점느님
594,디지털시스템,김용국,1.7,보통,보통,매우 깐깐함
595,인공지능,김용국,1,보통,많음,매우 깐깐함
596,공학설계기초(산학프로젝트입문),이수진,2.38,보통,많음,매우 깐깐함
597,C프로그래밍및실습,전창재,5,보통,없음,학점느님
598,인공지능의이해,전창재,4.91,보통,없음,학점느님
599,대학생을위한실용금융,김대종,4.63,많음,없음,학점느님
600,경영수학,김대종,2.43,많음,없음,비율 채워줌
601,경제학원론,김대종,2.33,많음,많음,매우 깐깐함
602,경영통계학,김대종,1.71,많음,보통,비율 채워줌
603,애지헌강좌1,이요섭,5,보통,보통,학점느님
604,채플1,이요섭,4.96,없음,없음,학점느님
605,채플3,이요섭,4.93,없음,없음,학점느님
606,채플4,이요섭,4.9,없음,없음,학점느님
607,채플2,이요섭,4.77,없음,없음,학점느님
608,정보사회와정보이용,신은자,4.76,보통,없음,학점느님
609,정보리터러시,신은자,4.3,보통,없음,비율 채워줌
610,HCI와커뮤니케이션,신은자,4.11,보통,없음,학점느님
611,과학기술과사회,정연철,5,보통,없음,학점느님
612,과학철학,정연철,5,보통,없음,학점느님
613,SHP고전강좌:Reading Intellectus 2,정연철,5,보통,없음,학점느님
614,서양고전강독4,정연철,4.72,보통,없음,학점느님
615,현대과학기술의이해,정연철,4.5,없음,없음,학점느님
616,유니스토리,정연철,4.5,보통,없음,비율 채워줌
617,인간과우주,정연철,4.39,없음,없음,학점느님
618,과학사,정연철,4.14,보통,없음,학점느님
619,우주자연인간,정연철,4.07,보통,없음,학점느님
620,도시지역경제학,배길원,5,보통,없음,학점느님
621,세계경제의이해,배길원,5,보통,없음,학점느님
622,경제원론1,배길원,4.2,보통,없음,학점느님
623,생활과경제,배길원,4,없음,없음,학점느님
624,고전특강,박승원,4.75,보통,없음,학점느님
625,동양사상산책,박승원,3.86,많음,없음,학점느님
626,헌법1,김희정,4.85,보통,없음,비율 채워줌
627,창업과기업가정신1,김희정,4.6,보통,없음,학점느님
628,스피치커뮤니케이션,김희정,4.5,보통,없음,학점느님
629,정보사회의사이버윤리,김희정,4.5,보통,없음,학점느님
630,헌법2,김희정,4.4,보통,없음,학점느님
631,주제탐구와발표(SHP),김희정,1,보통,없음,학점느님
632,대학생활과진로설계,심재경,5,없음,보통,학점느님
633,생명의미시적세계,심재경,4.73,보통,없음,학점느님
634,현대과학으로의여행,심재경,4.71,보통,없음,학점느님
635,생화학및실험,심재경,3,보통,보통,비율 채워줌
636,바이오폴리머공학,심재경,2.67,없음,보통,비율 채워줌
637,분자면역학,심재경,2,없음,없음,비율 채워줌
638,분자생화학,심재경,1,보통,없음,매우 깐깐함
639,취업역량개발론,황용식,5,없음,없음,학점느님
640,취업전략및사회진출,황용식,5,보통,없음,학점느님
641,진로설정과자기계발,황용식,4.97,없음,없음,학점느님
642,취업과진로,황용식,4.93,보통,없음,학점느님
643,취창업과진로설계,황용식,4.87,보통,없음,학점느님
644,비즈니스세미나,황용식,4,많음,보통,학점느님
645,경영학원론,황용식,3.53,보통,없음,비율 채워줌
646,국제경영론,황용식,3.29,보통,없음,비율 채워줌
647,전략경영,황용식,2.83,보통,많음,매우 깐깐함
648,동서양의윤리,이기백,4.06,보통,없음,학점느님
649,철학과인간이해,이기백,3.5,보통,많음,비율 채워줌
650,법학적성평가연습2,이기백,2,많음,많음,비율 채워줌
651,한국의언어와문화1,이지은,5,없음,없음,학점느님
652,미적분학및연습1,이지은,5,보통,없음,비율 채워줌
653,미적분학및연습2,이지은,5,보통,없음,학점느님
654,한국문화와한국어교육,이지은,5,보통,보통,학점느님
655,역사학개론,이지은,5,많음,없음,비율 채워줌
656,일변수미적분학,이지은,4.86,보통,없음,학점느님
657,인도의정치경제와사회,이지은,4.86,없음,없음,학점느님
658,고등미적분학2,이지은,4.67,보통,없음,비율 채워줌
659,기초미적분학,이지은,4.62,보통,없음,비율 채워줌
660,다변수미적분학,이지은,4.5,보통,없음,비율 채워줌
661,인공지능기초수학,이지은,3,많음,없음,비율 채워줌
662,현대인의정신건강과자기발견,전보영,4.86,보통,없음,학점느님
663,행복한가정만들기,전보영,4.67,보통,없음,학점느님
664,21세기외교전쟁,강병철,4,많음,없음,비율 채워줌
665,세계화와글로벌거버넌스,강병철,3.08,많음,없음,매우 깐깐함
666,선광제련공학개론,권경중,5,보통,보통,비율 채워줌
667,대학생활과진로설계,권경중,5,없음,없음,학점느님
668,세종사회봉사2,권경중,5,없음,없음,학점느님
669,일반화학,권경중,4.64,보통,없음,학점느님
670,열역학,권경중,4.4,보통,보통,학점느님
671,세종사회봉사1,권경중,3.3,없음,없음,학점느님
672,전기화학공학및실습,권경중,3.25,보통,많음,비율 채워줌
673,세종리더십,이주은,3.56,많음,많음,비율 채워줌
674,전파천문학,김성은,5,보통,보통,학점느님
675,경제원론2,김성은,5,보통,없음,학점느님
676,금융시장론,김성은,5,보통,없음,학점느님
677,성간물질,김성은,4.5,보통,보통,학점느님
678,경제원론1,김성은,4.5,보통,없음,학점느님
679,국제금융론,김성은,4.5,보통,보통,비율 채워줌
680,항성대기,김성은,4.5,보통,없음,비율 채워줌
681,항성천문학,김성은,4.43,보통,없음,학점느님
682,계량경제학,김성은,4.38,보통,없음,비율 채워줌
683,국제통상학개론,김성은,4.2,보통,없음,비율 채워줌
684,천문학의세계,김성은,4.14,보통,없음,비율 채워줌
685,거시경제학,김성은,4,많음,보통,매우 깐깐함
686,은하천문학,김성은,3.67,보통,없음,학점느님
687,성간물질,오세헌,5,보통,없음,비율 채워줌
688,천문학의세계,오세헌,4.81,보통,없음,학점느님
689,일반물리학및실험1,오세헌,4.43,보통,없음,비율 채워줌
690,기초천문학및실험1,오세헌,4,없음,없음,비율 채워줌
691,전파천문학,오세헌,2.5,보통,없음,매우 깐깐함
692,기초천문관측및실습,Graziano Rossi,3.57,보통,보통,학점느님
693,동양의철학사상-노장과불교,임홍태,4.78,없음,없음,학점느님
694,동양고전강독1,임홍태,4.67,보통,없음,학점느님
695,동양의철학사상-공맹과성리학,임홍태,3.14,보통,없음,학점느님
696,동양고전강독2,임홍태,2.47,보통,없음,매우 깐깐함
697,창업과기업가정신2,이태하,5,보통,없음,학점느님
698,SHP고전강좌:Building Intellectus 1,이태하,5,많음,보통,학점느님
699,동양고전강독1,이태하,5,보통,없음,학점느님
700,서양철학:쟁점과토론,이태하,4.94,많음,없음,학점느님
701,창업과기업가정신1,이태하,4.83,보통,없음,학점느님
702,서양철학:쟁점과토론,이태하,4.8,보통,보통,학점느님
703,서양철학:쟁점과토론,이태하,4.75,보통,보통,비율 채워줌
704,창업과기업가정신1,이태하,4.54,보통,없음,학점느님
705,서양고전강독2,이태하,4.53,보통,없음,학점느님
706,서양철학:쟁점과토론,이태하,4.5,많음,보통,비율 채워줌
707,서양고전강독1,이태하,4.5,보통,없음,학점느님
708,수요집현강좌,이태하,4.49,보통,없음,학점느님
709,서양철학:쟁점과토론,이태하,4.32,많음,없음,비율 채워줌
710,서양철학:쟁점과토론,이태하,4.3,많음,없음,학점느님
711,서양철학:쟁점과토론,이태하,4.06,많음,없음,비율 채워줌
712,서양고전강독4,이태하,4,보통,없음,학점느님
713,교직소양을위한독서강좌2,이태하,4,없음,없음,학점느님
714,서양철학:쟁점과토론,이태하,4,많음,많음,비율 채워줌
715,서양철학:쟁점과토론,이태하,3.67,많음,많음,비율 채워줌
716,서양철학:쟁점과토론,이태하,3.67,많음,많음,비율 채워줌
717,창업과기업가정신1,이태하,3.6,보통,없음,학점느님
718,서양고전강독3,이태하,3.44,보통,없음,학점느님
719,서양철학:쟁점과토론,이태하,3.43,많음,많음,학점느님
720,서양철학:쟁점과토론,이태하,3.33,많음,보통,매우 깐깐함
721,서양철학:쟁점과토론,이태하,3.32,많음,없음,비율 채워줌
722,"공간과인간:인문,예술,공학의융합",이태하,3,보통,보통,매우 깐깐함
723,SHP고전강좌:Reading Intellectus 1,이태하,2.33,많음,많음,매우 깐깐함
724,"공간과인간:인문,예술,공학의융합",이태하,2,많음,보통,매우 깐깐함
725,동서양고전문학강독,이태하,1.67,많음,없음,비율 채워줌
726,서양철학:쟁점과토론,이태하,1.05,많음,많음,매우 깐깐함
727,인류의선사문화,우은진,4.33,보통,많음,학점느님
728,한국의문화유산,우은진,4.22,보통,보통,비율 채워줌
729,"인지과학:마음,언어,기계",정경숙,5,보통,없음,학점느님
730,과학기술과사회,정경숙,4.58,보통,없음,비율 채워줌
731,유니스토리,정경숙,3.51,보통,없음,비율 채워줌
732,현대과학기술의이해,정경숙,2.75,많음,없음,비율 채워줌
733,생활속의색채심리학,정경숙,2,보통,많음,학점느님
734,디자인이노베이션,김영은,3.67,보통,보통,비율 채워줌
735,2D디자인,김영은,3.64,보통,없음,매우 깐깐함
736,인터렉티브디자인,김영은,2.33,많음,많음,매우 깐깐함
737,영상스토리텔링,구중회,3.57,보통,없음,비율 채워줌
738,보컬트레이닝,김성경,3.85,보통,없음,비율 채워줌
739,영어듣기연습,Gordon Maccoy,5,보통,없음,학점느님
740,English Reading Practice 1,Gordon Maccoy,4.3,보통,없음,비율 채워줌
741,English for Professional Purposes 1,Gordon Maccoy,4,많음,보통,비율 채워줌
742,글로벌잉글리쉬1(진로탐색),Gordon Maccoy,4,많음,없음,비율 채워줌
743,English Listening Practice 1,Gordon Maccoy,3.93,보통,없음,비율 채워줌
744,English Listening Practice 2,Gordon Maccoy,3.67,보통,보통,비율 채워줌
745,English for Professional Purposes 2,Gordon Maccoy,3.33,보통,많음,비율 채워줌
746,Job Hunting Skills,Gordon Maccoy,3,많음,없음,비율 채워줌
747,독서토론,김판임,4.67,많음,보통,비율 채워줌
748,문화콘텐츠와성서,김판임,3.4,보통,보통,비율 채워줌
749,서양종교의이해,김판임,3.2,보통,보통,비율 채워줌
750,동양종교의이해,김판임,3.18,보통,없음,비율 채워줌
751,독어,김판임,3.17,보통,보통,비율 채워줌
752,그리스로마신화의이해,김판임,2.64,보통,보통,비율 채워줌
753,창의SW융합노마드,이현석,5,보통,없음,학점느님
754,컴퓨터네트워크,이현석,5,보통,없음,학점느님
755,자료구조및실습,이현석,4.17,보통,보통,학점느님
756,전산개론-O,이현석,2.5,보통,없음,비율 채워줌
757,신호및시스템,이현석,2.33,보통,없음,비율 채워줌
758,수치해석,정철,5,많음,많음,비율 채워줌
